+ mkdir -p /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs
+ debootstrap --variant=minbase --components=main,universe --include=inetutils-ping,iproute2 --force-check-gpg devel /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs http://archive.ubuntu.com/ubuntu /usr/share/debootstrap/scripts/vivid
I: Retrieving Release 
I: Retrieving Release.gpg 
I: Checking Release signature
I: Valid Release signature (key id 790BC7277767219C42C86F933B4FE6ACC0B21F32)
I: Retrieving Packages 
I: Validating Packages 
I: Retrieving Packages 
I: Validating Packages 
I: Resolving dependencies of required packages...
I: Resolving dependencies of base packages...
I: Found additional base dependencies: gnupg gpgv libapt-pkg4.16 libreadline6 libstdc++6 libusb-0.1-4 netbase readline-common ubuntu-keyring 
I: Checking component main on http://archive.ubuntu.com/ubuntu...
I: Checking component universe on http://archive.ubuntu.com/ubuntu...
I: Retrieving adduser 3.113+nmu3ubuntu4
I: Validating adduser 3.113+nmu3ubuntu4
I: Retrieving apt 1.0.9.10ubuntu6
I: Validating apt 1.0.9.10ubuntu6
I: Retrieving base-files 7.2ubuntu10
I: Validating base-files 7.2ubuntu10
I: Retrieving base-passwd 3.5.38
I: Validating base-passwd 3.5.38
I: Retrieving bash 4.3-13ubuntu1
I: Validating bash 4.3-13ubuntu1
I: Retrieving bsdutils 1:2.26.2-6ubuntu3
I: Validating bsdutils 1:2.26.2-6ubuntu3
I: Retrieving coreutils 8.23-3ubuntu1
I: Validating coreutils 8.23-3ubuntu1
I: Retrieving dash 0.5.7-4ubuntu2
I: Validating dash 0.5.7-4ubuntu2
I: Retrieving debconf 1.5.57ubuntu1
I: Validating debconf 1.5.57ubuntu1
I: Retrieving debianutils 4.5.1
I: Validating debianutils 4.5.1
I: Retrieving diffutils 1:3.3-1
I: Validating diffutils 1:3.3-1
I: Retrieving dmsetup 2:1.02.99-1ubuntu1
I: Validating dmsetup 2:1.02.99-1ubuntu1
I: Retrieving dpkg 1.18.2ubuntu1
I: Validating dpkg 1.18.2ubuntu1
I: Retrieving e2fslibs 1.42.12-1ubuntu2
I: Validating e2fslibs 1.42.12-1ubuntu2
I: Retrieving e2fsprogs 1.42.12-1ubuntu2
I: Validating e2fsprogs 1.42.12-1ubuntu2
I: Retrieving findutils 4.4.2-9build1
I: Validating findutils 4.4.2-9build1
I: Retrieving gcc-5-base 5.2.1-15ubuntu1
I: Validating gcc-5-base 5.2.1-15ubuntu1
I: Retrieving gnupg 1.4.18-7ubuntu1
I: Validating gnupg 1.4.18-7ubuntu1
I: Retrieving gpgv 1.4.18-7ubuntu1
I: Validating gpgv 1.4.18-7ubuntu1
I: Retrieving grep 2.21-2
I: Validating grep 2.21-2
I: Retrieving gzip 1.6-4ubuntu1
I: Validating gzip 1.6-4ubuntu1
I: Retrieving hostname 3.15ubuntu2
I: Validating hostname 3.15ubuntu2
I: Retrieving init 1.23ubuntu3
I: Validating init 1.23ubuntu3
I: Retrieving initscripts 2.88dsf-59.2ubuntu1
I: Validating initscripts 2.88dsf-59.2ubuntu1
I: Retrieving insserv 1.14.0-5ubuntu3
I: Validating insserv 1.14.0-5ubuntu3
I: Retrieving iproute2 4.1.1-1ubuntu1
I: Validating iproute2 4.1.1-1ubuntu1
I: Retrieving libacl1 2.2.52-2
I: Validating libacl1 2.2.52-2
I: Retrieving libapparmor1 2.10-0ubuntu4
I: Validating libapparmor1 2.10-0ubuntu4
I: Retrieving libapt-pkg4.16 1.0.9.10ubuntu6
